Listennummer,Partei,Stimmen,Stimmen-Prozent,Gemeinde-Nummer,Gemeinde-Name,Stimmberechtigte,Wahlzettel,Stimmbeteiligung
7,Die Mitte,232,4.0432205,331,Lotzwil,1834,485,0.2644492911668484
8,EDU,196,3.4158244,331,Lotzwil,1834,485,0.2644492911668484
9,SVP,1694,29.522482,331,Lotzwil,1834,485,0.2644492911668484
10,FDP,561,9.776926,331,Lotzwil,1834,485,0.2644492911668484
11,jll,48,0.83652836,331,Lotzwil,1834,485,0.2644492911668484
12,GLP,404,7.040781,331,Lotzwil,1834,485,0.2644492911668484
13,JGLP,65,1.1327988,331,Lotzwil,1834,485,0.2644492911668484
14,Grüne,352,6.1345415,331,Lotzwil,1834,485,0.2644492911668484
15,JGOA,115,2.0041828,331,Lotzwil,1834,485,0.2644492911668484
16,ULO,48,0.83652836,331,Lotzwil,1834,485,0.2644492911668484
17,DM,37,0.644824,331,Lotzwil,1834,485,0.2644492911668484
1,SP Frauen,521,5.098845,332,Madiswil,2618,871,0.3326967150496562
2,SP Männer,313,3.063222,332,Madiswil,2618,871,0.3326967150496562
3,JUSO,113,1.1058916,332,Madiswil,2618,871,0.3326967150496562
4,EVP,751,7.349775,332,Madiswil,2618,871,0.3326967150496562
5,jevp,74,0.72421217,332,Madiswil,2618,871,0.3326967150496562
6,EVP E,156,1.5267175,332,Madiswil,2618,871,0.3326967150496562
7,Die Mitte,638,6.2438836,332,Madiswil,2618,871,0.3326967150496562
8,EDU,798,7.8097477,332,Madiswil,2618,871,0.3326967150496562
9,SVP,4226,41.358387,332,Madiswil,2618,871,0.3326967150496562
10,FDP,737,7.212762,332,Madiswil,2618,871,0.3326967150496562
11,jll,56,0.5480525,332,Madiswil,2618,871,0.3326967150496562
12,GLP,590,5.774124,332,Madiswil,2618,871,0.3326967150496562
13,JGLP,91,0.89058524,332,Madiswil,2618,871,0.3326967150496562
14,Grüne,582,5.695831,332,Madiswil,2618,871,0.3326967150496562
15,JGOA,193,1.8888237,332,Madiswil,2618,871,0.3326967150496562
16,ULO,240,2.3487964,332,Madiswil,2618,871,0.3326967150496562
17,DM,139,1.3603445,332,Madiswil,2618,871,0.3326967150496562
1,SP Frauen,493,12.178854,333,Melchnau,1114,342,0.30700179533213645
2,SP Männer,218,5.3853755,333,Melchnau,1114,342,0.30700179533213645
3,JUSO,26,0.6422925,333,Melchnau,1114,342,0.30700179533213645
4,EVP,432,10.671937,333,Melchnau,1114,342,0.30700179533213645
5,jevp,86,2.1245058,333,Melchnau,1114,342,0.30700179533213645
6,EVP E,45,1.11166,333,Melchnau,1114,342,0.30700179533213645
7,Die Mitte,224,5.533597,333,Melchnau,1114,342,0.30700179533213645
8,EDU,125,3.0879447,333,Melchnau,1114,342,0.30700179533213645
9,SVP,1361,33.62154,333,Melchnau,1114,342,0.30700179533213645
10,FDP,295,7.287549,333,Melchnau,1114,342,0.30700179533213645
11,jll,29,0.7164032,333,Melchnau,1114,342,0.30700179533213645
12,GLP,331,8.176877,333,Melchnau,1114,342,0.30700179533213645
13,JGLP,38,0.9387351,333,Melchnau,1114,342,0.30700179533213645
14,Grüne,195,4.817194,333,Melchnau,1114,342,0.30700179533213645
15,JGOA,72,1.778656,333,Melchnau,1114,342,0.30700179533213645
16,ULO,32,0.7905139,333,Melchnau,1114,342,0.30700179533213645
17,DM,46,1.1363636,333,Melchnau,1114,342,0.30700179533213645
1,SP Frauen,2,0.40816325,335,Oeschenbach,202,42,0.2079207920792079
2,SP Männer,4,0.8163265,335,Oeschenbach,202,42,0.2079207920792079
3,JUSO,1,0.20408162,335,Oeschenbach,202,42,0.2079207920792079
4,EVP,80,16.32653,335,Oeschenbach,202,42,0.2079207920792079
5,jevp,5,1.0204082,335,Oeschenbach,202,42,0.2079207920792079
6,EVP E,16,3.265306,335,Oeschenbach,202,42,0.2079207920792079
7,Die Mitte,15,3.0612245,335,Oeschenbach,202,42,0.2079207920792079
8,EDU,56,11.428572,335,Oeschenbach,202,42,0.2079207920792079
9,SVP,263,53.67347,335,Oeschenbach,202,42,0.2079207920792079
10,FDP,10,2.0408163,335,Oeschenbach,202,42,0.2079207920792079
11,jll,0,0.0,335,Oeschenbach,202,42,0.2079207920792079
12,GLP,2,0.40816325,335,Oeschenbach,202,42,0.2079207920792079
13,JGLP,0,0.0,335,Oeschenbach,202,42,0.2079207920792079
14,Grüne,14,2.857143,335,Oeschenbach,202,42,0.2079207920792079
15,JGOA,0,0.0,335,Oeschenbach,202,42,0.2079207920792079
16,ULO,10,2.0408163,335,Oeschenbach,202,42,0.2079207920792079
17,DM,12,2.4489796,335,Oeschenbach,202,42,0.2079207920792079
